"id";"VillageId";"BlockId";"DistrictId";"VillageName";"plots";"phase"
"400";"400";"92";"22";"Pawta";NULL;NULL
"401";"401";"92";"22";"Dhauj";NULL;NULL
"402";"402";"92";"22";"Tikri Khera";NULL;NULL
"403";"403";"92";"22";"Khori Jamalpur";NULL;NULL
"404";"404";"92";"22";"Sarurpur";NULL;NULL
"405";"405";"92";"22";"Pakhal";NULL;NULL
"406";"406";"92";"22";"Fatehpur Tagga";NULL;NULL
"407";"407";"92";"22";"Tajupur";NULL;NULL
"408";"408";"92";"22";"Sirohi";NULL;NULL
"409";"409";"7";"18";"Kajal heri";NULL;NULL
"410";"410";"7";"18";"Jhalniya";"88";"2"
"411";"411";"7";"18";"Manawali";"114";"2"
"412";"412";"43";"10";"AGWANPUR";NULL;NULL
"413";"413";"43";"10";"AHULANA";"187";"3"
"414";"414";"43";"10";"CHIRASMI";"106";"3"
"415";"415";"43";"10";"BHOGIPUR";NULL;NULL
"416";"416";"43";"10";"PANCHI JATAN";"113";"2"
"417";"417";"43";"10";"NAYA BANS";"207";"3"
"418";"418";"43";"10";"KHERI GUJJAR";"108";"3"
"419";"419";"43";"10";"BARI";"179";"2"
"420";"420";"43";"10";"GUMAR";NULL;NULL
"421";"421";"43";"10";"GHASAULI";"120";"3"
"422";"422";"43";"10";"ATAIL";NULL;NULL
"423";"423";"43";"10";"BAJANA KHURD";"75";"3"
"424";"424";"43";"10";"UDESHIPUR";"94";"3"
"425";"425";"43";"10";"MAHMUDPUR MAJRA";"148";"2"
"426";"426";"23";"19";"Garh Multan";NULL;NULL
"427";"427";"23";"19";"Rasin";NULL;NULL
"428";"428";"23";"19";"Kutail";NULL;NULL
"429";"429";"23";"19";"Garh Bharal";NULL;NULL
"430";"430";"127";"10";"Barota";"288";"2"
"431";"431";"127";"10";"Bidhal";NULL;NULL
"432";"432";"127";"10";"Bilbilan";NULL;NULL
"433";"433";"127";"10";"Riwara";NULL;NULL
"434";"434";"127";"10";"Bali Bhraman";"76";"2"
"435";"435";"115";"6";"Attba";NULL;NULL
"436";"436";"115";"6";"Ghasera";"126";"3"
"437";"437";"115";"6";"Bela";NULL;NULL
"438";"438";"30";"6";"Bahin";NULL;NULL
"439";"439";"30";"6";"Ali Meo";NULL;NULL
"440";"440";"30";"6";"Gehlab";NULL;NULL
"441";"441";"30";"6";"Man Pur";"106";"3"
"442";"442";"30";"6";"Firozpur Rajput";NULL;NULL
"443";"443";"30";"6";"Goh Pur";NULL;NULL
"444";"444";"30";"6";"Kondal";NULL;NULL
"445";"445";"30";"6";"Pondri";NULL;NULL
"446";"446";"30";"6";"Saroli";NULL;NULL
"447";"447";"30";"6";"Raniyala Khurd";NULL;NULL
"448";"448";"30";"6";"Uttawar";NULL;NULL
"449";"449";"30";"6";"Bajada Pahari";NULL;NULL
"450";"450";"30";"6";"Pawsar";"80";"3"
"451";"451";"30";"6";"Kot Mithaka";NULL;NULL
"452";"452";"30";"6";"Bhimsika";NULL;NULL
"453";"453";"30";"6";"Khilluka";NULL;NULL
"454";"454";"30";"6";"Reebad";NULL;NULL
"455";"455";"30";"6";"Malai";"136";"3"
"456";"456";"30";"6";"Jainpur";NULL;NULL
"457";"457";"30";"6";"Roopnagar Natoli";NULL;NULL
"458";"458";"30";"6";"Kumrehda";NULL;NULL
"459";"459";"30";"6";"Pahadpur";NULL;NULL
"460";"460";"30";"6";"Pachanka";NULL;NULL
"461";"461";"30";"6";"Khaika";NULL;NULL
"462";"462";"30";"6";"Lakhnaka";NULL;NULL
"463";"463";"30";"6";"Jarari";NULL;NULL
"464";"464";"30";"6";"Mandnaka";NULL;NULL
"465";"465";"63";"6";"Gudrana";NULL;NULL
"466";"466";"131";"19";"Muradgarh";NULL;NULL
"467";"467";"131";"19";"Tussang";NULL;NULL
"468";"468";"131";"19";"Gorgarh";"102";"2"
"469";"469";"131";"19";"Danokhari";NULL;NULL
