AssetId,AssetName,AssetSize,Unit,BranchId,DistrictId,CityId,SectorId,IsActive,IsDeleted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
150386,SSPIII20_E-156,30,Sq. Yards,3202,288,3238,701,1,0,,1,,,544
151103,RW19.2_E-59,30,Sq. Yards,3208,294,3264,681,1,0,,1,,,544
152157,RW27.28.26PII_E-1042,30,Sq. Yards,3205,291,3252,683,1,0,,1,,,544
152908,RW27.28.26PII_E-1464,30,Sq. Yards,3205,291,3252,684,1,0,,1,,,544
155933,GO13.14_206,30,Sq. Yards,3199,285,3221,695,1,0,,1,,,544
155952,CD9_E-305,30,Sq. Yards,3213,299,3279,691,1,0,,1,,,544
156702,RW27.28.26PII_E-404,30,Sq. Yards,3205,291,3252,690,1,0,,1,,,544
156820,RK21.2_E-135,30,Sq. Yards,3205,291,3252,681,1,0,,1,,,544
157119,RW18.2-2218,30,Sq. Yards,3208,294,3264,692,1,0,,1,,,544
157720,RW18.2-3684,30,Sq. Yards,3208,294,3264,705,1,0,,1,,,544
157805,SD8_E-178,30,Sq. Yards,3200,286,3230,694,1,0,,1,,,544
158173,MG9.10.3_E-133,30,Sq. Yards,3207,293,3259,692,1,0,,1,,,544
158641,JG22.1_E-83,30,Sq. Yards,3194,280,3200,696,1,0,,1,,,544
158960,RK5_E-356,30,Sq. Yards,3205,291,3252,682,1,0,,1,,,544
159392,PW21_471,30,Sq. Yards,3212,298,3276,686,1,0,,1,,,544
161131,JR9PII_E-257,30,Sq. Yards,3206,292,3257,693,1,0,,1,,,544
161146,JG22.2_E-51,30,Sq. Yards,3194,280,3200,691,1,0,,1,,,544
161900,RW27.28.26PII_E-510,30,Sq. Yards,3205,291,3252,694,1,0,,1,,,544
162100,RW27.28.26PII_E-864,30,Sq. Yards,3205,291,3252,690,1,0,,1,,,544
162403,RW27.28.26PII_E-1325,30,Sq. Yards,3205,291,3252,683,1,0,,1,,,544
162567,JG23_676,30,Sq. Yards,3194,280,3200,696,1,0,,1,,,544
148029,PW21_345,30,Sq. Yards,3212,298,3276,688,1,0,,1,,,544
148230,RW36A_E-254,30,Sq. Yards,3205,291,3252,690,1,0,,1,,,544
148244,RW27.28.26PII_E-796,30,Sq. Yards,3205,291,3252,683,1,0,,1,,,544
149366,PW21_940,30,Sq. Yards,3212,298,3276,691,1,0,,1,,,544
149515,RW18.2-2143,30,Sq. Yards,3208,294,3264,708,1,0,,1,,,544
150601,RW18.2-3227,30,Sq. Yards,3208,294,3264,700,1,0,,1,,,544
150687,RW27.28.26PII_E-1525,30,Sq. Yards,3205,291,3252,683,1,0,,1,,,544
151052,PW21_9,30,Sq. Yards,3212,298,3276,688,1,0,,1,,,544
151155,MG9.10.3_E-317,30,Sq. Yards,3207,293,3259,693,1,0,,1,,,544
